date,total_bitcoins
12/22/2016,16057627.08
12/26/2016,16064131.25
12/29/2016,16070631.25
1/1/2017,16077131.25
1/5/2017,16083593.75
1/8/2017,16090043.75
1/12/2017,16096518.75
1/15/2017,16103043.75
1/18/2017,16109556.25
1/21/2017,16116048.96
1/24/2017,16122506.25
1/27/2017,16128943.75
1/31/2017,16135431.25
2/3/2017,16141968.75
2/7/2017,16148418.75
2/10/2017,16154893.75
2/13/2017,16161368.75
2/17/2017,16167868.75
2/20/2017,16174381.25
2/24/2017,16180856.25
2/27/2017,16187393.75
3/3/2017,16193843.75
3/6/2017,16200318.75
3/10/2017,16206806.25
3/13/2017,16213266.67
3/17/2017,16219806.25
3/20/2017,16226281.25
3/23/2017,16232756.25
3/27/2017,16239218.75
3/30/2017,16245718.75
4/3/2017,16252231.25
4/6/2017,16258781.25
4/10/2017,16265331.25
4/13/2017,16271806.25
4/17/2017,16278300.52
4/21/2017,16284831.25
4/24/2017,16291381.25
4/28/2017,16297856.25
5/1/2017,16304318.75
5/4/2017,16310806.25
5/8/2017,16317281.25
5/11/2017,16323781.25
5/14/2017,16330281.25
5/18/2017,16336806.25
5/21/2017,16343243.75
5/25/2017,16349756.25
5/28/2017,16356231.25
5/31/2017,16362743.75
6/3/2017,16369204.17
6/6/2017,16375690.63
6/9/2017,16382138.54
6/13/2017,16388631.25
6/17/2017,16395081.25
6/20/2017,16401593.75
6/24/2017,16408081.25
6/28/2017,16414531.25
7/1/2017,16421056.25
7/4/2017,16427506.25
7/8/2017,16433978.13
7/11/2017,16440481.25
7/14/2017,16446946.88
7/17/2017,16453406.25
7/21/2017,16459868.75
7/24/2017,16466331.25
7/27/2017,16472881.25
7/31/2017,16479356.25
8/3/2017,16485831.25
8/6/2017,16492293.75
8/10/2017,16498781.25
8/14/2017,16505307.29
8/17/2017,16511830.73
8/21/2017,16518306.25
8/25/2017,16524768.75
8/29/2017,16531206.25
9/1/2017,16537686.46
9/4/2017,16544156.25
9/7/2017,16550636.98
9/11/2017,16557156.25
9/13/2017,16563631.25
9/16/2017,16570131.25
9/20/2017,16576593.75
9/23/2017,16583037.5
9/27/2017,16589506.25
9/30/2017,16595956.25
10/4/2017,16602431.25
10/7/2017,16608937.5
10/10/2017,16615431.25
10/14/2017,16621881.25
10/17/2017,16628356.25
10/20/2017,16634831.25
10/23/2017,16641281.25
10/26/2017,16647731.25
10/30/2017,16654218.75
11/3/2017,16660681.25
11/6/2017,16667168.75
11/10/2017,16673631.25
11/15/2017,16680106.25
11/18/2017,16686560.42
11/21/2017,16693056.25
11/25/2017,16699543.75
11/28/2017,16706018.75
12/1/2017,16712493.75
12/4/2017,16718968.75
12/7/2017,16725456.25
12/10/2017,16731917.19
12/13/2017,16738418.75
12/16/2017,16744906.25
12/19/2017,16751368.75
12/23/2017,16757843.75
12/26/2017,16764293.75
12/30/2017,16770768.75
1/2/2018,16777243.75
1/5/2018,16783718.75
1/8/2018,16790168.75
1/11/2018,16796656.25
1/15/2018,16803093.75
1/18/2018,16809581.25
1/21/2018,16816068.75
1/24/2018,16822518.75
1/27/2018,16828968.75
1/30/2018,16835443.75
2/3/2018,16841931.25
2/6/2018,16848406.25
2/9/2018,16854843.75
2/13/2018,16861343.75
2/16/2018,16867793.75
2/19/2018,16874268.75
2/23/2018,16880731.25
2/26/2018,16887193.75
3/1/2018,16893692.71
3/4/2018,16900156.25
3/8/2018,16906606.25
3/11/2018,16913085.94
